,index,smiles,ligand,docking_score_min
0,97761,C[C@H](CN1C=C(N=N1)C1=CC2=CC=CC=C2N=C1)NC(=O)C1=CN=C2C=CNC=C2C1=O,m_274860____15234926____15229938____12536678_S0_T0,-11.7
1,70876,CN1C2=C(N=C(NCC3=CC=CC(OC4=CC=CC5=CC=CC=C45)=C3)N2)C([O-])=NC1=O,s_27____9982960____1324328_S0_T2,-11.8
2,83654,FC(F)(C1=NC(=NO1)C1=C2C=CC=CN2N=C1)C1=CC=CC2=CC=CC=C12,m_270196____13596856____16485038_S0_T0,-11.7
3,15391,ClC1=C(NC(=O)C2=CC=C(O2)C2=CC=CC3=CC=CC=C23)C=CC2=NNC=C12,s_22____14260660____16784258_S0_T0,-12.1
4,88810,O1N=C(N=C1C1=CN=C2C=CSC2=C1)C1=CC=CC2=CC=CC=C12,s_265764____4558042____6008236_S0_T0,-11.7
5,94613,ClC1=CC(NC(=O)CC2=NOC(=N2)C2=CC3=C(O2)C=CC2=C3C=CC=C2)=CC(Cl)=C1,m_270196____9422808____12211510_S0_T0,-11.7
6,73092,CC1=CC(=CC(N)=N1)C1=NOC(=N1)C1=C(C)C2=CC=CC=C2N=C1Cl,m_270196____13259878____13436002_S0_T0,-11.8
7,80009,OC1=C2C(=NC=C2C(=O)N2CC(C2)N2C=C(N=N2)C2=CC3=CC=CN=C3C=C2)N=CN1,m_276010____17281746____17276070____17280612_S0_T2,-11.8
8,36243,CN1C(=O)C(C)=NC2=CC=C(C=C12)C1=NC(=NO1)C1=CN=CC2=CC=CC=C12,m_270196____8770656____17655040_S0_T0,-11.9
9,10260,FC1=CC=C(NC(=O)[C@H]2CCC3=C2NN=C3)C=C1C1=CN(N=N1)C1=CC=CC2=CN=CC=C12,m_276010____17281774____17269420____17280982_S1_T1,-12.2
10,38083,CC1=CC=CC=C1C1(CC1)C1=NOC(=N1)C1=C2C=C(F)C=CC2=NC(O)=C1,m_270196____13978688____10903752_S0_T1,-11.9
11,82366,ClC1=CC2=CC=CC=C2C(=C1)C1=NC(=NO1)C1=C2NC=CC2=CC=C1,m_270196____19121992____12054180_S0_T1,-11.7
12,83520,C[C@@H](NC(=O)C1=C(NN=C1)C1=CC2=CC=CC=C2O1)C1=CN(N=N1)C1=CC=CC(F)=C1C,m_276010____17282262____17261484____17280586_S1_T0,-11.7
13,57161,FC(F)(F)C1=CC=CC=C1C1=CC(=NN1)C1=NC(=NO1)C1=CC=NC2=CC=CC=C12,m_270196____13940684____8780850_S0_T0,-11.8
14,23883,CN1C=NC(=C1)C1=CC=C(NC(=O)CC2=COC3=C2C2=C(C=CC=C2)C=C3)C=C1,m_11____18321576____54740_S0_T0,-12.0
15,71571,O=C1C2=CC=CC=C2C2=CC=C(C=C12)C1=NC=C2NN=CC2=C1,s_271570____21604518____15703544_S0_T2,-11.8
16,64611,FC1=CC=C(C=C1)N1C=CC(=O)C(=N1)C1=NC(=NO1)C1(CCC1)C1=CC(F)=CC=C1,m_270196____13207808____8779390_S0_T0,-11.8
17,78389,CC1=NOC2=NC(=CC(C3=NC(=NO3)C3=CC4=CC=CC=C4NC3=O)=C12)C1=CC=CO1,m_270196____16946244____8775216_S0_T0,-11.8
18,80705,CC1(CN(C1)C(=O)C1=NC=CC2=C1NC1=C2C=CC=C1)C1=CN(N=N1)C1=CC=CC=C1,m_276010____17281768____17254920____17280550_S0_T0,-11.8
19,8707,CC1=C(C)N=C(O1)C1=CC=CC(NC(=O)C2=C3NC4=CC=CC=C4C(=O)C3=CC=C2)=C1,s_527____1055008____9406322_S0_T1,-12.3
20,96705,O=C(NC1=CC=CC(=C1)C1=NNC(=O)C=C1)C1=CC=C2N=C(OC2=C1)C1=CC=CC=C1,s_11____2306644____9580420_S0_T1,-11.7
